ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,旁白,hide,,,,,,,false,,源类型=type:txt_pb; 层级=0
29,旁白,hide,,,,还未等你们对这番似是而非的话做出任何形式回应，那孩子便像是感觉到了什么似得，猛地抬起头，胸口随着呼吸剧烈起伏，最终爆发出一声刺耳的咆哮。,,,,,源类型=type:txt_pb; 层级=28
30,网瘾学徒,hide,,,,小偷！,,,,,源类型=type:txt_Wyxt; 层级=29
31,旁白,hide,,,,他从地上弹了起来，像一条没有骨头的软体动物，身体呈现出非人的弯折，却又带着一种经过训练的，诡异的协调性。,,,,,源类型=type:txt_pb; 层级=30
32,旁白,hide,,,,你猛地撞开克拉克，同时扣动扳机，子弹擦着男孩的耳边飞过，打在了身后的墙面上，溅起一片石屑。,,,,"bgfade(sntzm_clark3_32,1)",源类型=type:txt_pb; 层级=31
33,旁白,hide,,,,可男孩像是完全感受不到恐惧，看似瘦弱的身体展现出不可思议的迅捷和灵敏，一个下潜便轻易钻到了你的近前，你只感觉一团黑乎乎的东西在眼前一闪，脸上便结结实实地挨上了一记头槌。,,,,,源类型=type:txt_pb; 层级=32
34,你,hide,,,,呜！,,,,,源类型=type:txt_You; 层级=33
35,旁白,hide,,,,尖锐的剧痛与滞涩的眩晕像两股对冲的激流，在你的太阳穴里掀起一阵滔天巨浪。你握着枪的手猛地一松，整个人不由自主向后倒去，腰重重磕在了墙角的石台上，疼得你倒抽一口冷气。,,,,,源类型=type:txt_pb; 层级=34
36,旁白,hide,,,,你本以为对方会趁机要你性命，但预想中的追击并未如约而至。在将你这个碍事者轻易甩开后，他立刻调转矛头，手中的美工刀磨地雪亮，直逼克拉克帅气的脸庞。,,,,,源类型=type:txt_pb; 层级=35
37,旁白,hide,,,,砰！砰！砰！,,,,"shake(screen,0.2,5,0.2,3)",源类型=type:txt_pb; 层级=36
38,旁白,hide,,,,又是三声枪响划破了周围短暂的沉寂，每一颗子弹都沿着精确的轨迹扫向男孩的下盘，目的不是为了致命，却足以让他在皮开肉绽的剧痛下，失去一切反抗的筹码。,,,,,源类型=type:txt_pb; 层级=37
39,旁白,hide,,,,男孩跑动着，密集的弹道在他双腿的空隙间交织而过，他没有减速，甚至没有采取任何明显的规避动作，却总能抓住扳机扣动间那转瞬即逝的微妙窗口，让子弹擦着他的裤腿迷失在身后的黑暗之中。,,,,,源类型=type:txt_pb; 层级=38
40,网瘾学徒,hide,,,,别再想把她从我身边带走！你们这群懦夫，看我宰了你们！,,,,,源类型=type:txt_Wyxt; 层级=39
41,旁白,hide,,,,他的刀随着嘴里的叫骂声胡乱地劈出，没有留给你们任何疑惑或是惊叹的时间，克拉克侧闪避开了第一刀，却无法同样轻易地避开男孩的第二第三第四刀。,,,,"bgfade(sntzm_clark3_41,1)",源类型=type:txt_pb; 层级=40
42,旁白,hide,,,,鲜血喷涌出来，在晃动的手电光下拉出一道道猩红的弧线，与男孩流出的暗红血液混杂在一起，仿佛上演着一场血腥的华尔兹。,,,,,源类型=type:txt_pb; 层级=41
43,旁白,hide,,,,这些伤口并不致命，甚至只是堪堪划破克拉克战术背心上的几条裸露的纤维。,,,,,源类型=type:txt_pb; 层级=42
44,旁白,hide,,,,得益于克拉克不断后退留出的一段干净的空间，他立即组织起一次迅速且高效的反击——肌肉紧绷的手肘在一瞬之间爆发出惊人的力量，在男孩因盲目前刺而丢失重心的刹那，正中他脆弱的后颈。,,,,,源类型=type:txt_pb; 层级=43
45,网瘾学徒,hide,,,,呃啊......,,,,,源类型=type:txt_Wyxt; 层级=44
46,旁白,hide,,,,只听一声低哑的惨叫自他的喉咙里挤了出来，瘦小的身子当即软塌塌地向前栽倒，像一只泄气的皮球，在地上滚了两圈后终于禁止不动。,,,,,源类型=type:txt_pb; 层级=45
47,旁白,hide,,,,你捂着嗡嗡发疼的额头缓缓起身，冲击带来的余韵尚未消退，每走一步都仿佛踩在棉花上摇摇欲坠。,,,,,源类型=type:txt_pb; 层级=46
48,旁白,hide,,,,你咬着牙将地上的配枪重新捡起，准心在轻微的摇晃中再次对准目标，这具瘦弱的躯体依旧伏倒在地上，像一株被人踩踏过的枯草，连呼吸都微弱得几乎不可闻。,,litesaturation-horror,,unlockmusic(Music17),源类型=type:txt_pb; 层级=47
49,旁白,hide,,,,出于人道主义的精神追求，以及审问信息的现实需要。你们的枪口安静了下来，不再喷吐出致命的火舌，或发出尖锐的爆鸣声。它们只是维持着蓄势待发的紧绷姿态，虎视眈眈地审视着这头蛰伏的凶兽。,,,,,源类型=type:txt_pb; 层级=48
50,克拉克,hide,,,,别放松警惕，亚当。他随时可能突然跳起来。,,,,,源类型=type:txt_Clark; 层级=49
51,旁白,hide,,,,克拉克的声音没有因为危机的暂时解除而放松分毫，尽管胳膊上的伤口还在往外流血，他还是高举着枪口，随时警戒着对方的反扑。,,,,,源类型=type:txt_pb; 层级=50
52,旁白,hide,,,,事实证明，这种担心并非多余。只见他的身子在地上抽搐了两下，随即爆发出一阵低哑的笑声，就像一盘损坏的磁带，被录音机强行播放时发出的扭曲小调。,,,,,源类型=type:txt_pb; 层级=51
53,网瘾学徒,hide,,,,终于......找到你了，艾米丽。没想到......你一直在这群小偷手里。,,,,"bgfade(sntzm_clark3_53,1)",源类型=type:txt_Wyxt; 层级=52
54,克拉克,hide,,,,艾米丽？,,,,,源类型=type:txt_Clark; 层级=53
55,旁白,hide,,,,克拉克赶紧瞟了眼侧肩，这才后知后觉——在方才的乱刀挥舞中，自己腰包的绑带不知何时被他切断了。那预兆极大的前扑动作并非为了刺击，而是这家伙为了抢下他的腰包不得已露出的破绽。,,,,,源类型=type:txt_pb; 层级=54
56,旁白,hide,,,,而现在，那只真皮腰包正被他像命根子一样死死护在怀里。他粗糙的手指哆哆嗦嗦扯开腰包的搭扣，露出里面裹着黑布的一小方物件，那是克拉克之前从病房里回收的名牌，上面还带着几根泛着微光的金色发丝。,,,,,源类型=type:txt_pb; 层级=55
57,旁白,hide,,,,男孩将那截发束贴在自己满是血污的脸上，空洞的眼窝挤开两道血缝，像是在感受什么珍贵的温度。,,,,,源类型=type:txt_pb; 层级=56
58,网瘾学徒,hide,,,,你怎么变轻了，艾米丽。他们又给你绝食了吗？发质都变差了好多......,,,,,源类型=type:txt_Wyxt; 层级=57
59,旁白,hide,,,,克拉克额角的青筋猛地跳了跳，和你隔空对视了一眼。你们能从彼此的眼神中读出相同的震惊与诧异。,,,,,源类型=type:txt_pb; 层级=58
60,你,hide,,,,你认识她？B2—15病房的病人？,,,,,源类型=type:txt_You; 层级=59
61,旁白,hide,,,,你往前踏了一步，枪口在身体平衡感的恢复下逐渐平稳。可对方却仿佛完全忽视了你的问题，只是自顾自蹭着那截发丝，嘴角咧开一个诡异又温柔的笑。,,,,,源类型=type:txt_pb; 层级=60
62,网瘾学徒,hide,,,,没事的，艾米丽。等我杀光这群腐朽的大人，就带你到外面去......每天都让你吃得饱饱的，再也不用挨打挨饿。,,,,,源类型=type:txt_Wyxt; 层级=61
63,旁白,hide,,,,说完，他突然转过头，流着血泪的眼窝犹如黑洞般紧紧锁住你们的身形，窒息的压迫感四散而出，仿佛周围的空气都为之凝固。,,,,,源类型=type:txt_pb; 层级=62
64,旁白,hide,,,,克拉克刚想鸣枪示警，不料那男孩直接无视的手枪的威胁。带着一种信徒般的，自我献祭的狂热与决绝，利用你们一瞬的迟疑快速接近。,,,,"bgfade(sntzm_clark3_64,1)",源类型=type:txt_pb; 层级=63
65,旁白,hide,,,,连续扣动的扳机在他眼中宛如慢放，每一个微小的动作都精确计算了子弹的滑翔轨迹，就连那些直击要害的射击，也在他令人眼花缭乱的动作中错失目标。,,,,,源类型=type:txt_pb; 层级=64
66,旁白,hide,,,,如果说第一次避开克拉克的子弹可能只是运气，那么眼前的这场“表演”，则毫无疑问地向你们证明了——抓走大卫、并与你们战斗的，绝非一个普通的男孩，而是一个经过系统性训练和改造，的非人的怪物。,,,,,源类型=type:txt_pb; 层级=65
67,旁白,hide,,,,弹匣还未清空，克拉克便果断放弃了这件过时的武器，转而掏出军用匕首与敌人短兵相接。双方的冷兵器在咫尺的距离间相互撕咬，彼此交击后迸射出灼目的火花。,,,,"bgfade(sntzm_clark3_67,1)",源类型=type:txt_pb; 层级=66
68,旁白,hide,,,,克拉克的反击势大力沉，每次熟练的挥舞都带着巨大的动能，仅片刻的接触就险些将男孩的美工刀从手中击飞出去。,,,,,源类型=type:txt_pb; 层级=67
69,旁白,hide,,,,但后者鬼魅的灵巧则弥补了力量上的巨大劣势，瘦小的身躯即使在近距离的缠斗中也有如幽灵般飘忽不定，闪转腾挪间多次令克拉克的进攻无功而返。,,,,,源类型=type:txt_pb; 层级=68
70,旁白,hide,,,,随着战斗烈度的持续攀升，克拉克还未得到包扎的伤口再一次开裂，越来越多的鲜血流出体外，他引以为傲的力量也开始逐渐变得力不从心。,,,,"loadScript(sntzm_clark4, 1)",源类型=type:txt_pb; 层级=69; gotomainline=克拉克线4_1
