ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
19,旁白,hide,,,,你没有参与讨论。只是站在那里，看着屏幕上那张属于曾经同伴的照片，他嘴角微微咧着，带着他惯有的那种散漫的、不正经的笑意。但在那张他最后一次现身的画面里，你却看到了一种你以前从没注意到的东西。,,,,,源类型=type:txt_pb; 层级=18
20,旁白,hide,,,,一只飞蛾停在他的肩上，黑色的、翅膀微微发光，像一颗被人从内部点燃的引信。,,,,"bgfade(sntzm_ending5(3)_20,1)",源类型=type:txt_pb; 层级=19
21,旁白,hide,,,,你想起盖曼在昏迷前做出过一个动作，他的手如枯瘦的枝条般微微举起，指向大卫，又或是藏在他身后影子里的某种东西。,,,,,源类型=type:txt_pb; 层级=20
22,旁白,hide,,,,太阳穴又开始痛了。一阵一阵的，让你不得不中断对那场任务的回忆......这是你本月第六次出现这样的症状，仿佛脑子里有某种无形的力量在阻止你回忆起更多关于那天的细节。,,,,,源类型=type:txt_pb; 层级=21
23,旁白,hide,,,,你醒来时，天已经亮了。桌上的咖啡杯里还剩半杯冷掉的残液，杯壁上倒映着窗外初升的日光。你站起身，整了整衣领，准备开始新一天的工作。,,,,"bgfade(sntzm_ending5(3)_23,1)",源类型=type:txt_pb; 层级=22
24,旁白,hide,,,,你是特别行动小组的指挥官，你有一组新人要训练，有任务要分配，一切都很正常。一切都在正确的轨道上。,,,,,源类型=type:txt_pb; 层级=23
25,旁白,hide,,,,直到某天，你在训练场上看见一个新兵。他的眼神。那种空洞又熟悉的眼神。和你三个月前盖曼在昏迷前看向你们的眼神一模一样——那是看一个死人的眼神。,,,,"bgfade(sntzm_ending5(3)_25,1)",源类型=type:txt_pb; 层级=24
26,旁白,hide,,,,你突然想起一些事——你从来没有见过任何一份关于“盖亚之心”的后续报告。上司没有找你问话，媒体没有追问细节，连FBI内部都没有人提起这个案子，仿佛盖亚之心不在别处——它们就在你的身体里。,,,,,源类型=type:txt_pb; 层级=25
27,旁白,hide,,,,那天晚上，你做了一个梦。,black,,,,源类型=type:txt_pb; 层级=26
28,旁白,hide,,,,梦里你站在一面镜子前。镜子里的人不是你，是盖曼、是亚波伦、也是克拉克。是每一个曾作为“梦境中枢”的大脑，是每一个帮他们训练“士兵”的“指挥官”。,,,,"bgfade(sntzm_ending5(3)_28,1)",源类型=type:txt_pb; 层级=27
29,旁白,hide,,,,无论是在医院的手术室、还是FBI的训练场。无论是在梦境，还是现实。,,,,,源类型=type:txt_pb; 层级=28
30,旁白,hide,,,,镜子里的脸问你：“你知道自己是谁吗？”,,,,,源类型=type:txt_pb; 层级=29
31,旁白,hide,,,,你想回答。但你已经不记得答案了。,,,,,源类型=type:txt_pb; 层级=30
32,旁白,hide,,,,达成结局：【梦之渊】,,,,,源类型=type:txt_pb; 层级=31
