ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
18,克拉克,hide,Clark_default,,,不，但那个孩子的脖子上似乎挂着一块类似的牌子，我想这可能是这家医院里病人的统一配置。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=17
19,旁白,hide,Clark_default,,,你很难从逻辑上反驳这个观点，毕竟磕了药的瘾君子外，谁又会明目张胆地挑衅三个全副武装的FBI呢？,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=18
20,旁白,hide,,,,真正让你拒绝接受它的原因是——什么样的医院会将病人的眼球给弄出来，克拉克提到的“两只血淋淋的眼窝”，听上去可不像是先天性的视力缺陷。,,,,,源类型=type:txt_pb; 层级=19
21,克拉克,hide,Clark_default,,,怎么了？,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=20
22,旁白,hide,Clark_default,,,你思前想后，最终决定把此前积攒的一切疑虑和不安和盘托出，在亲眼目睹了如此多不合常理、甚至令人脊背发凉的痕迹后，你实在无法继续若无其事地，将其当做一次普通的任务来看待。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=21
23,你,hide,,,,我认为这家精神病院可能进行过某种残忍的非法实验，无论这间病房里留下的痕迹也好、不久前遭遇的那个失去双眼的小孩也好、还是我当时看到的那些幻觉也好.......,,,,,源类型=type:txt_You; 层级=22
24,你,hide,,,,一切的一切，都指向了这个可能。或许就连那场火灾本身，也并非事故，而是一场精心策划的掩护。好帮他们将那些见不得光的东西，彻底藏到所有人看不见的地底。,,,,,源类型=type:txt_You; 层级=23
25,旁白,hide,,,,你一股脑说出了自己所有的猜测，它们并非全然有理有据，但从克拉克紧皱的眉头来看，这些猜想显然也并非你一人独有。,,,,,源类型=type:txt_pb; 层级=24
26,克拉克,hide,Clark_default,,,关于火灾的起因，我想我们还尚需收集更多的证据。但非法实验的事，说实话，自从我见到那个孩子第一眼起，就已有所怀疑。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=25
27,旁白,hide,Clark_default,,,他低头看向那张布满挣扎、厮打痕迹的，血迹斑斑的病床，继续道。,,,,"bgfade(sntzm_clark2_27,1)",源类型=type:txt_pb; 层级=26
28,克拉克,hide,Clark_default,,,我认为那个孩子很可能被人洗脑控制，作为诱饵将我们这些闯入者引向他们设置好的陷阱。,,,,,源类型=type:txt_Clark; 层级=27
29,旁白,hide,Clark_default,,,这句话让你想起了被抓走的大卫，如果这就是那个孩子被“大人们”赋予的唯一使命的话，那他无疑已经成功了大半。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=28
30,你,hide,,,,只为了掩盖这里的秘密？,,,,,源类型=type:txt_David; 层级=29
31,旁白,hide,,,,他没有说话，但这份沉默却比直接的确认更加刺耳——一个天真烂漫的孩子成了大人阴谋的棋子，被强行挖去双眼、抹去自我，最后还要替这些藏在黑暗里的恶魔引开闯入者，光是想想就让人义愤填膺。,,,,,源类型=type:txt_pb; 层级=30
32,克拉克,hide,Clark_default,,,这些还只是猜测而已。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=31
33,旁白,hide,Clark_default,,,他转了转手腕，电筒中跳动的光柱将门外的黑暗一分为二，当它扫过楼梯的转角处时，一枚被人遗落的弹壳撞进了视野里，滚落在墙角发出清脆的叮当声。,,,,"bgfade(sntzm_clark2_33,1)",源类型=type:txt_pb; 层级=32
34,克拉克,hide,Clark_default,,,那是？,,,,,源类型=type:txt_Clark; 层级=33
35,旁白,hide,Clark_default,,,大卫留下的弹壳......你本想这么说，但当他飞快地冲向那颗可能暗示着大卫所在的子弹时，一股强烈的不安猛地攫住了你的心脏。,,,,,源类型=type:txt_pb; 层级=34
36,你,hide,Clark_default,,,等等，克拉克！,,,,"charmove(L,-100,-100,1)&shake(L,0.5,5,x)&charfadeout(L,1)",源类型=type:txt_You; 层级=35
37,旁白,hide,,,,话音未落，异变陡生。只见房门旁的一台不知名设备突然自行启动，机械臂以一种极其抽象的姿态高速甩出，甚至预判了克拉克跑动方向和角度，像一柄被人挥舞的攻城锤直直抽向他的腹部。,,,,,源类型=type:txt_pb; 层级=36
38,克拉克,hide,,,,！,,,,,源类型=type:txt_Clark; 层级=37
39,旁白,hide,,,,尽管已经本能地做出了闪避动作，但高大的体型此刻反而成为了克拉克的累赘，那条机械臂结结实实地撞在了他的侧腰上，令他踉跄着后退几步，后背几乎撞上了你的肩。,,,,,源类型=type:txt_pb; 层级=38
40,你,hide,,,,克拉克！,,,,,源类型=type:txt_You; 层级=39
41,旁白,hide,,,,你没有丝毫犹豫，拔枪的速度快到几乎能用毫秒计算，对准机器底座上插着的线缆便是干净利落地一梭连射。,,,,,源类型=type:txt_pb; 层级=40
42,旁白,hide,,,,滚烫的弹壳蹦落在碎玻璃上发出脆响，几股带着机油味的黑红色油渍瞬间从被打穿的线缆缺口喷溅出来，像巨兽体内的血液。霎时间便让这座庞然大物停止了运转，只剩下电流涌出管线后滋滋的窜动声。,,,,,源类型=type:txt_pb; 层级=41
43,你,hide,,,,没事吧。,,suspense-tensions,,,源类型=type:txt_You; 层级=42
44,旁白,hide,,,,你赶紧上前搀扶起同伴摇摇欲坠的身体，担心他可能已经受到了某种严重的内伤。幸运的是，克拉克看起来并无大碍，他朝你摆了摆手，很快站稳身子。仿佛刚才承受的不过是一次轻微的擦伤。,,,,"bgfade(sntzm_clark2_42,1)",源类型=type:txt_pb; 层级=43
45,克拉克,hide,Clark_nervous,,,那一下不是很重。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=44
46,旁白,hide,Clark_nervous,,,他拍了拍身上的灰尘，表情严肃地地看向那台在你的射击下正不断冒着电火花的机器。,,,,,源类型=type:txt_pb; 层级=45
47,克拉克,hide,Clark_nervous,,,但这里的设备居然还没有完全断电，这绝对不是巧合。,,,,,源类型=type:txt_Clark; 层级=46
48,旁白,hide,Clark_nervous,,,你顺着他的目光看去，这台设备的动力源已经彻底切断，只剩下一只灰白的飞蛾驻足其上。那根有树枝粗细的机械臂半垂于你们和病房门之间，那姿势就仿佛要阻止你们离开这个房间。,,,,"charfadeout(L,1)&bgfade(sntzm_clark2_48,1)",源类型=type:txt_pb; 层级=47
49,你,hide,,,,在看到那颗子弹时我就觉得不对劲，大卫的配枪没有安装消音管，在这种安静的地方射击听起来会很明显。,,,,,源类型=type:txt_You; 层级=48
50,你,hide,,,,但这段时间里我们并没有听到类似的响声，说明那枚弹壳不是大卫射击时抛出的，而是有人故意放在这里引我们上钩的。,,,,,源类型=type:txt_You; 层级=49
51,旁白,hide,,,,分析完这套险恶的逻辑，你不由得感到一丝后怕，同时也为克拉克的有惊无险长舒了一口气。,,,,,源类型=type:txt_pb; 层级=50
52,你,hide,,,,幸亏你躲得及时，要是角度再正一点，恐怕就得把晚饭吐出来了。,,,,,源类型=type:txt_You; 层级=51
53,克拉克,hide,Clark_default,,,不，我没有躲。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=52
54,你,hide,Clark_default,,,......？,,,,,源类型=type:txt_You; 层级=53
55,克拉克,hide,Clark_default,,,我当时冲得太猛，根本没来得及反应，就这么直愣愣地撞了上去。,,,,,源类型=type:txt_Clark; 层级=54
56,你,hide,Clark_default,,,那为什么......？,,,,"charfadeout(L,1)",源类型=type:txt_You; 层级=55
57,旁白,hide,,,,克拉克摸了摸自己的战术背心，上面被机械捶打出的凹痕已经浅得几乎看不清。他确信这样的力度，即使锤在没有任何保护的你身上，也依旧造不成什么严重的伤势。,,,,,源类型=type:txt_pb; 层级=56
58,克拉克,hide,,,,不知道，可能是设备的老化程度超出预期，亦或是.......对方刻意为之。,,,,,源类型=type:txt_Clark; 层级=57
59,你,hide,,,,就为了吓吓我们？,,,,,源类型=type:txt_You; 层级=58
60,克拉克,hide,Clark_confused,,,也可能是在警告我们。,,,,"charfadein(L,1)",源类型=type:txt_Clark; 层级=59
61,旁白,hide,Clark_confused,,,他抬手指向那条横亘在你们与房门之间的机械臂，上面停留的那只飞蛾不知何时已悄悄飞走，唯有被子弹击中时的凹痕和窜动的火花记录着它带来的异动。,,,,"charfadeout(L,1)",源类型=type:txt_pb; 层级=60
66,旁白,hide,,,,在褪去方才那死里逃生般的紧迫感后，它阻拦而非伤害的意图，在这种特殊的位置关系下，变得更为明显。,,,,,源类型=type:txt_pb; 层级=60
62,旁白,hide,,,,与其说它是以那颗子弹为诱饵，设计的某种陷阱，不如说它正试图阻拦你们去触发藏在那颗子弹附近的，真正的陷阱。,,,,,源类型=type:txt_pb; 层级=61
63,旁白,hide,,,,这个想法像一根分叉的闪电，同时劈进了你和克拉克沸腾的意识之中，两束手电光齐刷刷地照向子弹所在的方向，将周围的一切照得宛如白昼。,,,,,源类型=type:txt_pb; 层级=62
64,克拉克,hide,Clark_default,,,跟在我后面，亚当，我们必须去看个清楚。,,,,"charfadein(L,1)&loadScript(sntzm_clark3, 2)",源类型=type:txt_Clark; 层级=63; gotomainline=克拉克线3_2
