ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
46,大卫//?,hide,,,,没有精神控制，亚当。现在是——我在控制。,,,,,源类型=type:txt_DVIF; 层级=45
47,旁白,hide,,,,大卫慢悠悠地回答了你的问题，他的声音还带着电流灼烧过后的沙哑，却又仿佛来自另一个人的灵魂。,,,,,源类型=type:txt_pb; 层级=46
48,旁白,hide,,,,他的视线微微偏了一下，朝右侧隔间那扇已经弹开的门抬了抬下巴。,,,,,源类型=type:txt_pb; 层级=47
49,旁白,hide,,,,你沿着他的目光看过去，那扇曾关押过亚波伦的门不知何时已经自动打开了，但里面空无一人——没有尸体，没有烟雾。没有任何他曾经存在过的痕迹。,,,,"bgfade(sntzm_final(4)_28,1)",源类型=type:txt_pb; 层级=48
50,旁白,hide,,,,电椅上只有被解开了一半的束缚带，像一条刚刚被剥下来的蛇皮，还维持着大致的人形轮廓。,,,,,源类型=type:txt_pb; 层级=49
51,大卫//亚波伦,hide,,,,很神奇，对吧？就像大变活人的魔术。,,,,,源类型=type:txt_DVABL; 层级=50
52,旁白,hide,,,,他的声音从身后传来，从容、优雅，还带着一点没有从它原本的主人身上剥干净的锐利，每一个字都像沾了蜜糖的刀子，一刀又一刀地舔舐着你脆弱的神经。,,,,,源类型=type:txt_pb; 层级=51
53,你,hide,,,,这是......怎么做到的？,,,,,源类型=type:txt_You; 层级=52
54,旁白,hide,,,,你猛地转头看向他。他的脸上没有什么多余的表情，只是微微歪了一下头，像是正在等待你补全那个结论。,,,,,源类型=type:txt_pb; 层级=53
55,大卫//亚波伦,hide,,,,魔术最重要的是什么？不是技法、不是道具，而是误导，误导你们以为我和大卫中总有一个人要死去，误导那10分钟是给你们做决定准备的。,,,,,源类型=type:txt_DVABL; 层级=54
56,大卫//亚波伦,hide,,,,但它不是，那把椅子从来都不是用来处刑的，它是用来适配的。电流只是载体，真正起作用的是那十分钟——足够我把自己意识里的连接点，一根一根嵌进他的神经里。,,,,,源类型=type:txt_DVABL; 层级=55
57,旁白,hide,,,,他朝你走近一步，动作并不快，像是一个刚刚穿上新鞋的人正在适应它的大小和长度。他把枪口往下移了几分，不再直指你的眉心，却也没有完全放下。,,,,,源类型=type:txt_pb; 层级=56
58,大卫//亚波伦,hide,,,,你们来得有点早，说实话......我本以为你们会更仔细地调查那些我特意为你们留下的线索，如果那样......你们也不会带着这么多疑问，火急火燎地来这间教室里，等着上我的课了。,,,,,源类型=type:txt_DVABL; 层级=57
59,大卫//亚波伦,hide,,,,这就导致了一些问题，比如......让我缺少一些时间来完成和这幅身体的最后的适配工作，所以我需要稳住你们。,,,,,源类型=type:txt_DVABL; 层级=58
60,旁白,hide,,,,他用眼角的余光瞄了瞄身后一动不动的克拉克，眼神轻蔑而戏谑。,,,,"loadScript(sntzm_ending4(2), 1)",源类型=type:txt_pb; 层级=59; gotomainline=结局4（下）_1
